track_name,artist_name,mean_cosine_score
manantial de corazón,gente de zona,0.9996569799129238
our love,chris bonnet,0.9996559024500568
sunburn,thutmose,0.9995941973406078
me enamoré,yandel,0.9993086539435526
60 cycle hum,kasey nugent,0.9993022495563859
upside down,paloma faith,0.9992140419062917
born to make you happy - bonus remix - 2009 remaster,britney spears,0.9991154490357452
besos mojados,ozuna,0.9989371722722898
los chapulines,leandro ríos,0.9989088649299336
shut up and hold on,toby keith,0.9988575852569688
なんで,kano,0.998850205870012
beer pong,casey muessigmann,0.998784959380314
again and again,flat fish,0.9987785658316919
whiskey jack,anthony james band,0.9987630851799392
srdcová královna,flat fly,0.998661228579609
just got paid,emerson drive,0.9986472423114258
woohoo,twice,0.9986229195165832
push,pepper,0.9986014464734038
mas de lo que te imaginas (classic version),the sacados,0.9985848988045126
i'm not just a girl,school gyrls,0.9985837129276753
slow down,unknown artist,0.9985519445282715
pegada improvisada,miguel salles,0.9985064042790911
libre,legarda,0.9984366159777749
miedo,los rude boys,0.9984361256266806
the front porch,ballyhoo!,0.9984163647050763
remember me,lil wayne,0.998353836943347
up all night,tunnel vision,0.9983418484225572
ganas locas (feat. farruko),prince royce,0.9983079983746391
go lady,michael,0.9982875376059074
porque te amo,forró boys,0.9982798678672068
